crosswalk_id,acca_count
06-0000002690,2
06-0000002735,13
06-0000002945,10
06-0000002992,1
06-0000002993,2
06-0000003143,1
06-0000003233,1
06-0000003246,4
06-0000003344,8
06-0000003345,12
06-0000003350,14
06-0000003358,9
06-0000003590,1
06-0000003624,1
06-0000003625,1
06-0000003638,2
06-0000011417,5
06-0000011418,8
06-0000011586,1
06-0000011612,1
06-0000011837,2
06-0000011838,1
06-0000011878,2
06-0000011881,7
06-0000012065,2
06-0000012068,4
06-0000012069,8
06-0000012071,3
06-0000012072,3
06-0000012073,6
06-0000012075,1
06-0000012088,10
06-0000012089,10
06-0000012090,3
06-0000012095,2
06-0000012096,4
06-0000012097,6
06-0000012098,7
06-0000012099,20
06-0000012100,10
06-0000012125,1
06-0000012129,4
06-0000012134,1
06-0000012136,1
06-0000012155,5
06-0000012165,1
06-0000012166,2
06-0000012169,1
06-0000012170,1
06-0000012171,1
06-0000012172,1
06-0000012173,1
06-0000012183,1
06-0000012362,1
06-0000012364,1
06-0000012422,3
06-0000012439,1
06-0000012440,1
06-0000012441,1
06-0000012442,2
06-0000012443,2
06-0000012447,1
06-0000012458,1
06-0000012595,13
06-0000012597,3
06-0000012598,1
06-0000012603,6
06-0000012604,3
06-0000012869,1
06-0000012871,2
06-0000012872,3
06-0000012888,9
06-0000012889,8
06-0000012890,1
06-0000012892,1
06-0000012893,1
06-0000012972,39
06-0000012976,1
06-0000012977,1
06-0000012979,1
06-0000012999,6
06-0000013009,2
06-0000013012,1
06-0000013013,3
06-0000013018,5
06-0000013019,2
06-0000013020,2
06-0000013044,6
06-0000013045,6
06-0000013137,3
06-0000013139,1
06-0000013144,1
06-0000013145,1
06-0000013146,1
06-0000013158,1
06-0000013160,2
06-0000013162,4
06-0000013163,4
06-0000013174,7
06-0000013178,7
06-0000013182,1
06-0000013266,2
06-0000013267,2
06-0000013268,2
06-0000013274,17
06-0000013275,1
06-0000013276,17
06-0000013278,17
06-0000013279,17
06-0000013283,6
06-0000013284,6
06-0000013301,1
06-0000013342,1
06-0000013343,1
06-0000013353,1
06-0000013356,1
06-0000013359,1
06-0000013364,1
06-0000013365,1
06-0000013366,1
06-0000013367,1
06-0000013368,1
06-0000013371,1
06-0000013433,1
06-0000013434,1
06-0000013435,1
06-0000013436,1
06-0000013475,1
06-0000013485,1
06-0000013490,1
06-0000013491,2
06-0000013493,1
06-0000013494,4
06-0000013495,3
06-0000013496,4
06-0000013498,1
06-0000013499,1
06-0000013500,1
06-0000013501,1
06-0000013502,1
06-0000013503,2
06-0000013505,1
06-0000013522,7
06-0000013523,4
06-0000013527,1
06-0000013528,1
06-0000013535,2
06-0000013537,1
06-0000013541,7
06-0000013545,3
06-0000013546,3
06-0000013548,2
06-0000013549,7
06-0000013557,3
06-0000013578,1
06-0000013585,4
06-0000013586,4
06-0000013635,1
06-0000013636,1
06-0000013640,1
06-0000013641,3
06-0000013642,1
06-0000013643,2
06-0000013644,2
06-0000013645,2
06-0000013648,2
06-0000013658,4
06-0000013659,4
06-0000013680,2
06-0000013681,5
06-0000013689,1
06-0000013690,1
06-0000013691,1
06-0000013692,1
06-0000013693,1
06-0000013694,2
06-0000013699,1
06-0000013781,1
06-0000013783,1
06-0000013948,1
06-0000013949,1
06-0000014160,43
06-0000014161,10
06-0000014162,11
06-0000014163,1
06-0000014164,1
06-0000014167,3
06-0000014168,1
06-0000014169,2
06-0000014170,6
06-0000014171,3
06-0000014495,2
06-0000014496,2
06-0000014497,2
06-0000014501,12
06-0000014502,12
06-0000014503,12
06-0000014504,6
06-0000014505,6
06-0000014507,6
06-0000014511,65
06-0000014512,71
06-0000015685,1
06-0000015721,6
06-0000015722,1
06-0000015728,1
06-0000015730,1
06-0000015732,1
06-0000015741,1
06-0000015760,2
06-0000015774,2
06-0000015775,71
06-0000018477,8
06-0000019294,1
06-0000019591,2
06-0000019593,3
06-0000019673,1
06-0000019846,2
06-0000019862,1
06-0000019863,2
06-0000020419,4
06-0000021797,2
06-0000021798,1
06-0000021799,1
06-0000021801,3
06-0000022243,3
06-0000023176,2
06-0000024406,1
06-0000024407,3
06-0000024408,9
06-0000024409,9
06-0000024410,2
06-0000024413,5
06-0000024420,11
06-0000024424,10
06-0000024543,8
06-0000024547,4
06-0000024548,2
06-0000024557,1
06-0000024634,4
06-0000024635,4
06-0000024636,8
06-0000024637,8
06-0000024638,1
06-0000024639,1
06-0000024640,3
06-0000024641,9
06-0000024642,14
06-0000024774,13
06-0000024775,13
06-0000024776,12
06-0000024780,3
06-0000024781,3
06-0000025095,4
06-0000025485,6
06-0000025495,1
06-0000025500,1
06-0000025501,2
06-0000025502,2
06-0000025503,2
06-0000025504,5
06-0000025505,4
06-0000025507,4
06-0000025617,3
06-0000025618,3
06-0000025949,2
06-0000025950,3
06-0000025951,3
06-0000026683,1
06-0000026684,1
06-0000026685,1
06-0000027003,1
06-0000027247,8
06-0000027362,15
06-0000027389,1
06-0000027398,1
06-0000027408,7
06-0000027409,7
06-0000027410,7
06-0000027411,3
06-0000027415,2
06-0000027416,2
06-0000027417,2
06-0000027426,8
06-0000027427,2
06-0000027443,2
06-0000027444,3
06-0000027446,3
06-0000027447,2
06-0000027448,2
06-0000027449,1
06-0000027453,1
06-0000027454,1
06-0000027455,5
06-0000027770,2
06-0000027778,5
06-0000027780,2
06-0000027781,2
06-0000027793,1
06-0000027808,2
06-0000027810,2
06-0000027816,6
06-0000027817,6
06-0000027818,6
06-0000027819,6
06-0000027820,5
06-0000027821,4
06-0000027822,4
06-0000027832,1
06-0000027833,1
06-0000028063,14
06-0000028064,14
06-0000028065,14
06-0000028066,14
06-0000028067,14
06-0000028068,2
06-0000028069,2
06-0000028079,3
06-0000028081,7
06-0000028083,1
06-0000028084,1
06-0000028085,1
06-0000028086,7
06-0000028087,7
06-0000028088,7
06-0000028089,7
06-0000028090,5
06-0000028091,5
06-0000028092,5
06-0000028093,5
06-0000028097,1
06-0000028098,1
06-0000028099,1
06-0000028101,1
06-0000028102,1
06-0000028511,10
06-0000028535,1
06-0000028536,1
06-0000028537,10
06-0000028538,6
06-0000028759,2
06-0000028760,2
06-0000028761,6
06-0000028762,2
06-0000028763,2
06-0000028767,7
06-0000028768,7
06-0000028769,10
06-0000028770,9
06-0000028789,11
06-0000028794,8
06-0000028796,23
06-0000028797,16
06-0000028798,37
06-0000028817,2
06-0000028848,1
06-0000028881,1
06-0000029187,3
06-0000029739,2
06-0000030015,11
06-0000030278,1
06-0000030483,1
06-0000030690,9
06-0000030691,9
06-0000030692,6
06-0000030693,6
06-0000030697,1
06-0000030698,3
06-0000030699,6
06-0000030700,8
06-0000030701,8
06-0000030702,2
06-0000030703,2
06-0000030979,2
06-0000030980,2
06-0000030981,4
06-0000032156,8
06-0000033648,13
06-0000033801,1
06-0000033802,2
06-0000033808,1
06-0000033810,1
06-0000033814,1
06-0000033816,1
06-0000033817,9
06-0000033818,2
06-0000033820,8
06-0000033821,9
06-0000033822,5
06-0000033823,8
06-0000033824,8
06-0000033826,1
06-0000033827,4
06-0000033828,2
06-0000034375,6
06-0000034377,2
06-0000034380,4
06-0000034381,4
06-0000034723,13
06-0000035041,1
06-0000035129,2
06-0000035202,12
06-0000035203,12
06-0000035385,10
06-0000035386,13
06-0000035468,2
06-0000035563,5
06-0000035739,1
06-0000036910,2
06-0000036919,1
06-0000036920,1
06-0000036921,1
06-0000036923,1
06-0000036924,1
06-0000037223,4
06-0000037225,3
06-0000037226,3
06-0000037227,3
06-0000037228,4
06-0000037229,4
06-0000037230,2
06-0000037231,4
06-0000037232,4
06-0000037233,3
06-0000037234,3
06-0000037235,3
06-0000037236,1
06-0000037237,1
06-0000037238,4
06-0000037704,2
06-0000037705,3
06-0000037713,1
06-0000037730,1
06-0000037731,6
06-0000037734,1
06-0000037736,2
06-0000037740,1
06-0000037752,1
06-0000037753,1
06-0000037757,1
06-0000037758,1
06-0000037835,4
06-0000037836,5
06-0000037837,5
06-0000037849,5
06-0000038060,1
06-0000038061,1
06-0000038062,1
06-0000038063,1
06-0000038064,1
06-0000038496,3
06-0000038499,3
06-0000038500,10
06-0000038598,2
06-0000038599,2
06-0000038600,2
06-0000038821,3
06-0000038822,8
06-0000038976,2
06-0000038977,1
06-0000039067,1
06-0000039075,4
06-0000039222,1
06-0000039268,1
06-0000039374,3
06-0000039693,1
06-0000039752,4
06-0000039762,2
06-0000040311,1
06-0000041214,1
06-0000041530,1
06-0000041568,1
06-0000041569,1
06-0000041605,7
06-0000041704,1
06-0000044383,4
06-0000045076,6
06-0000045420,1
06-0000045421,1
06-0000045658,12
06-0000045659,12
06-0000045660,12
06-0000045684,38
06-0000045685,39
06-0000045687,2
06-0000045698,5
06-0000045699,5
06-0000045700,1
06-0000045701,1
06-0000045717,1
06-0000045829,1
06-0000045837,2
06-0000045838,2
06-0000045839,2
06-0000046620,2
06-0000046659,2
06-0000047268,1
06-0000047269,1
06-0000047448,1
06-0000047930,2
06-0000048352,1
06-0000048500,1
06-0000048501,1
06-0000048566,1
06-0000048584,1
06-0000049100,1
06-0000049329,1
06-0000049657,1
06-0000049675,1
06-0000049978,6
06-0000050013,2
06-0000050017,1
06-0000050026,1
06-0000050029,1
06-0000050031,1
06-0000050351,2
06-0000050352,2
06-0000050355,1
06-0000050356,1
06-0000050666,2
06-0000050671,28
06-0000050672,17
06-0000050673,8
06-0000050675,1
06-0000050946,6
06-0000050947,6
06-0000050948,1
06-0000050949,5
06-0000050950,2
06-0000050951,2
06-0000051452,2
06-0000051453,1
06-0000051466,5
06-0000051661,1
06-0000051819,1
06-0000052144,1
06-0000052682,1
06-0000052683,1
06-0000052684,1
06-0000052685,1
06-0000052769,9
06-0000052770,9
06-0000052771,2
06-0000052821,4
